first_second,job_keywords,merge_keywords,translate_keywords
技术-运维/技术支持,"网络维护,故障排除,网络安全,系统升级,设备配置,IT技术支持,故障排除,系统维护,网络管理,客户沟通,网络安全, 安全设备维护, 风险漏洞管理, 安全管理制度, 技术支持服务,PHP编程, 数据库操作, 自动化工具开发, CI/CD平台搭建, 架构设计,运维/技术支持-运维工程师,数据库管理,系统维护,性能优化,故障处理,SQL查询,维护、系统安装、技术支持、网络安全以及用户故障排查。,系统工程师, 技术支持, 智能驾驶需求分析, 系统维护, Linux内核开发.","网络维护,故障排除,网络安全,系统升级,设备配置,IT技术支持,系统维护,客户沟通","['maintenance', 'troubleshooting', 'cybersecurity', 'System Upgrade Now', 'configuration of equipment', 'IT Technical Support', 'system maintenance', 'customer communication']"
技术-通信,"通信技术,网络设备,信号处理,系统维护,软件开发,无线通信技术研究与应用，协议栈开发和维护","通信技术,网络设备,信号处理,系统维护,软件开发,无线通信,协议栈开发","['Current communication technology', 'networking equipment', 'signal processing', 'system maintenance', 'software development', 'wireless communication', 'protocol stack development']"
技术-销售技术支持,"售前沟通,技术方案,客户支持,产品知识,问题解决,售后技术支持,客户沟通管理,产品维修更换,设备安装调试,技术指导培训","售前沟通,技术方案,客户支持,产品知识,问题解决,售后技术支持,客户沟通管理,设备安装调试","['sales communication', 'current technical proposal', 'customer support', 'product knowledge', 'Breeding enhancement', 'after-sales technical support', 'customer communication management', 'equipment installation and debugging']"
技术-项目管理,"项目管理,文档编写,数据统计分析,沟通协调,客户维护,项目管理,技术方案制定,成本控制,团队领导,客户关系维护,需求分析,项目管理,技术专长,沟通协调,解决方案设计,技术实施,项目管理,客户支持,系统培训,软硬件运维,实施顾问,项目管理,MES系统实施,ERP系统实施,需求分析,项目管理,技术支持,团队协作,项目跟踪,质量保证","项目管理,文档编写,数据统计分析,成本控制,团队领导,客户维护,解决方案设计","['Project Management', 'document preparation', 'Data Statistics Analysis', 'cost control', 'team leader', 'customer maintenance', 'design of solutions']"
技术-高端技术职位,"技术研发,团队管理,项目管理,产品规划,开发指导,技术管理,研发团队领导,产品规划与设计,高端技术规划,技术难题攻关,技术研发,团队领导,项目管理,创新决策,软件架构,系统设计,技术领导,架构规划,性能优化,高级编程","技术研发,团队管理,项目管理,产品规划,研发团队领导,技术难题攻关,系统设计,技术领导","['R&D (Research and Development)', 'team management', 'Project Management', 'product planning', 'research and development team leader', 'Technical Challenge Overcoming Now', 'system design', 'Technical Leadership']"
教育培训-教师,"文科教学,个性化教学,课程研发,教学评估,教研活动,教学辅助,学生管理,课程开发,家长沟通,多科目教学,职业规划指导,就业技能培训,学生咨询服务,讲座组织协调,课程开发设计,教育培训,英语教学,课程设计,学生评估,教材编写,早教知识,儿童心理,教学方法,课程设计,亲和力强,教授高中地理, 教学计划制定, 地理课程教研, 学生学习效果跟进, 个性化教学策略,高中日语教学, 教研活动, 班级管理, 高考备考指导, 学生评估与反馈,教育培训,物理教学,学生辅导,教学管理,家长沟通,高中教学, 学科知识讲授, 教研活动参与, 个性化辅导, 在线教育经验,学生管理,课程辅导,安全监护,家长沟通,灵活安排,教育经验,教学方法,学科知识,学生指导,家长沟通,感统训练, 家长沟通, 教学活动, 课程设计, 感统课程教学,美术教育,创意指导,课程设计,学生评价,教学方法,教学管理,课程研发,学生辅导,家长沟通,班级管理,体育教学, 课程开发, 客户关系管理, 运动技能指导, 体适能训练,幼儿教育,班级管理,家长沟通,课程教学,亲子互动,理科知识,教学能力,课程设计,学生引导,科学实验,生物教学, 高中教育, 教研活动, 提分方案, 教学计划制定,语文教学, 教学计划, 教研活动, 课后辅导, 家长沟通,音乐教学, 钢琴教学, 声乐指导, 器乐教学, 教学研究,小学教学, 作业辅导, 课程多样性, 家长沟通, 学科教研,教学能力,数学专业知识,课程设计,学生评估,课堂管理,教学方法,个性化辅导,学科知识,家教服务,学生沟通,化学教学, 教学计划, 学生辅导, 教育研究, 教学创新","文科教学,个性化教学,课程研发,教学评估,教研活动,学生管理,多科目教学","['teaching of liberal arts', 'personalized teaching', 'course development', 'instructional assessment', 'educational research activities', 'student management', 'multidisciplinary teaching']"
教育培训-教育产品研发,"教育产品研发,课程设计,教学方案制定,教研工作,教学材料编写,内容创作,课程设计,教育理念,教材更新,文本审核","教育产品研发,课程设计,教学方案制定,教研工作,教学材料编写,内容创作,教材更新,文本审核","['education product development', 'course design', 'curriculum planning', 'teaching and research work', 'curriculum material development', 'content creation', 'textbook update', 'text review']"
教育培训-教育行政,"教务管理,课程协调,教学资源,教学质量,学生服务,教育培训,教学管理,课程规划,团队管理,客户服务,管理能力,教育规划,团队领导,行政事务,师资建设,班主任/辅导员,学生管理,家长沟通,课程规划,续费推广,教育管理,团队建设,家长沟通,教学监管,营销招生","教务管理,课程协调,教学资源,教学质量,学生服务,教育培训,管理能力,团队管理","['academic administration', 'course coordination', 'teaching resources', 'teaching quality', 'student services', 'education and training', 'management ability', 'team management']"
教育培训-特长培训,"教育培训,古筝演奏,教学方法,音乐理解,学生互动,乐高教学, 编程教学, 机器人教育, 课程研发, 学龄儿童教育。,足球教学,团队管理,技能训练,比赛指导,校园合作,篮球教学, 客户关系维护, 课程开发, 训练指导, 招生销售,轮滑技能,教学方法,安全指导,教练经验,儿童互动,钢琴教学,学生管理,音乐会准备,招生辅助,家长沟通,舞蹈教学,舞蹈编排,艺术表现,教育培训,学员指导,书法教学, 家长沟通, 课程设计, 教案准备, 硬笔教学,机器人编程教学, 乐高教学, 竞赛指导, 家长沟通, 课程设计与研发,健身指导, 课程教学, 会员服务, 教练技能, 训练计划制定,播音主持教学, 语言艺术, 学生指导, 课程研发, 口才培训,技术指导,教学方法,乒乓球技巧,训练规划,运动心理学,教育培训,吉他演奏,教学方法,音乐素养,学员互动,表演教学, 语言艺术, 课程规划与创新, 艺考指导, 艺术项目管理,搏击教学, 散打教学, 少儿培训, 武术套路, 家长沟通,跆拳道教学, 学员训练, 课程规划, 家长沟通, 招生销售,少儿编程, 教学管理, 课程设计, 家长沟通, 赛事指导","古筝演奏,乐高教学,编程教学,学生互动,机器人教育,课程研发","['zither performance', '""乐高教学"" can be translated to ""Lego instructional learning"" or simply ""Lego-based teaching"".', 'programming education', 'student interaction', 'robotics education in the present', 'course development']"
教育培训-职业培训,"培训设计,课程开发,团队协作,学习激励,行动导向","培训设计,课程开发,团队协作,学习激励,行动导向","['现在培训设计: Training Design Now', 'course development', 'teamwork', 'learning motivation', 'output: action-oriented']"
旅游-旅游产品开发/策划,"旅游产品设计,市场分析,产品推广,研学产品开发,客户关系管理,旅游产品设计,市场分析,创意策划,项目管理,客户沟通","旅游产品设计,市场分析,产品推广,研学产品开发,客户关系管理,创意策划,项目管理,客户沟通","['travel product design', 'market analysis', 'product promotion', 'Research and Development of Educational Products', 'customer relationship management', 'creative planning', 'Project Management', 'customer communication']"
旅游-旅游服务,"旅游线路设计, 客户服务, 行程管理, 旅游产品开发, 市场调研,客户服务,票务操作,旅游信息,业务处理,团队协作,旅游服务,导游讲解,客户沟通,景点规划,安全管理,旅游讲解,客户服务,展厅管理,接待流程,文化传播,签证服务、客户沟通、资料整理、申请协助、持续更新。","旅游线路设计, 客户服务, 行程管理, 旅游产品开发, 市场调研, 票务操作, 旅游信息, 业务处理","['tour route design', 'customer service', 'schedule management', 'travel product development', 'market research', 'ticketing operations', 'travel information', 'business processing']"
服务业-其他服务业职位,"网络维护,故障排除,客户服务,安全管理,技术支持","网络维护,故障排除,客户服务,安全管理,技术支持","['maintenance', 'troubleshooting', 'customer service', 'safety management', 'Technical Support']"
服务业-婚礼/花艺,"婚礼策划,客户沟通,现场协调,方案设计,细节执行,设计创意,花卉搭配,婚礼布置,顾客服务,花艺制作","婚礼策划,客户沟通,现场协调,方案设计,细节执行,设计创意,花卉搭配,婚礼布置","['wedding planning', 'customer communication', 'on-site coordination', 'scheme design', 'implementation details', 'design creativity', 'flower arrangement', 'wedding decoration']"
服务业-安保/家政/维修,"保洁管理,人员培训,客户沟通,卫生监督,手机维修, 硬件检测, 软件故障诊断, 客户服务, 3C产品维修,清洁卫生,客户服务,日常维护,安全意识,家具保养,产后康复指导,身体恢复训练,心理支持,母乳喂养咨询,家庭访问,保安管理,秩序维护,团队领导,安全检查,事件处理,家政服务,烹饪技能,婴幼儿照料,老年护理,家务管理,养老护理,生活照料,基础护理,心理护理,康复护理,巡逻监控,应急处理,安全检查,客户服务,形象维护,安检检查, 秩序维护, 安全检查设备, 行李扫描, 地铁站工作,月嫂服务,新生儿护理,产妇护理,制作月子餐,育儿知识指导,服务业-安保/家政/维修-育婴师,婴幼儿护理,教育与照料,家政服务,日常生活照顾,家电维修,故障诊断,维修技能,服务意识,零件更换,消防监控, 设备操作, 安全管理, 值班记录, 应急响应","保洁管理,人员培训,客户沟通,硬件检测,手机维修,保安管理","['cleaning management', 'employee training', 'customer communication', 'hardware inspection', 'mobile phone repair', 'security management']"
服务业-宠物服务,"宠物美容, 客户服务, 店内清洁, 宠物护理, 销售产品,诊断治疗,宠物护理,客户服务,兽医学知识,疫苗注射","宠物美容, 客户服务, 店内清洁, 宠物护理, 销售产品, 兽医学知识, 疫苗注射, 诊断治疗","['pet grooming', 'customer service', 'retail store cleaning', 'pet care', 'selling products', 'veterinary science knowledge', 'vaccine injection', 'diagnosis and treatment']"
服务业-汽车服务,"门店运营管理,客户服务,团队管理,4S店管理,售后服务管理,加油服务,客户服务,站内卫生,油品加注,设备操作,汽车维修, 日常保养, 故障诊断, 机电维修, 钣金作业,汽车改装,技术设计,安全标准,客户沟通,创新思维,汽车美容, 抛光打蜡, 太阳膜施工, 内饰清洗, 客户服务,二手车评估,车辆检测,收购管理,价格评估,市场分析,汽车服务,客户沟通,维修知识,服务流程,顾问咨询,洗车服务,汽车美容,客户服务,洗车工艺,内饰清洁,汽车查勘,损失评估,事故处理,理赔管理,客户沟通","门店运营管理,客户服务,团队管理,4S店管理,售后服务管理,设备操作,汽车维修,客户沟通","['retail operation management', 'customer service', 'team management', '4S shop management', 'after-sales service management', 'machine operation', 'automotive repair', 'customer communication']"
服务业-美容保健,"美容服务提供,团队管理,业绩目标达成,客户关系维护,日常经营管理,美容技能,顾客服务,美容产品知识,护理手法,形象设计,推拿技术, 理疗服务, 养生保健, 顾客沟通, 健康管理,美容保健,理疗技术,客户服务,治疗方案制定,疼痛缓解,化妆服务,儿童摄影,造型设计,妆容制作,顾客服务,采耳服务,顾客沟通,美容保健,技能熟练,卫生操作,养发护理,头皮护理,客户服务,产品推荐,技能培训,美容技能,客户服务,皮肤护理,身体保养,养生服务,美发助理, 烫染技术, 洗护服务, 客户接待, 学徒学习,美容技术,纹绣设计,客户服务,质量控制,新项目开发,美睫设计,顾客服务,美容技能,细节操作,卫生管理,按摩技艺,客户服务,SPA服务,芳香疗法,养生调理,足疗服务, 按摩技艺, 服务标准维护, 客户沟通技巧, 养生知识与实践,美甲设计,客户服务,手部护理,艺术美感,技术熟练,发型设计,剪发技术,烫发染发,店铺运营管理,顾客服务","美容服务提供,团队管理,业绩目标达成,客户关系维护,日常经营管理,美容技能,顾客服务,美容产品知识","['beauty service provision', 'team management', 'achievement of performance targets', 'customer relationship maintenance', 'daily business management', 'cosmetic skills', 'customer service', 'beauty product knowledge']"
服务业-运动健身,"救生技能,健身指导,安全监控,应急处理,游泳池管理","救生技能,健身指导,安全监控,应急处理","['rescue skills', 'fitness instruction', 'safety monitoring', 'emergency handling']"
服务业-酒店,"礼仪接待,客户服务,门迎服务,餐饮服务,礼宾服务,客房管理, 服务质量监督, 培训与发展, 员工调度与考勤, 物资与布草管理,前台操作系统、客户服务、账务处理、订单管理、客房预订
,客房清洁, 客房服务, 清洁工具维护, 客人需求响应, 布草处理,服务管理,客户关系,前厅运营,员工培训,业务协调,民宿运营,客户服务,房间管理,预订安排,日常维护,服务管理,客户满意度,团队领导,酒店运营,收益优化","客户服务,门迎服务,客房管理,物资管理,培训发展,前台操作,酒店运营","['customer service', 'front desk service', 'room management', 'material management', 'training and development', 'front desk operation', 'hotel operations management']"
服务业-零售,"督导/巡店,销售管理,培训与招聘,客户服务,业绩提升,商场管理,顾客服务,销售策略,商品陈列,店铺运营,接待顾客, 商品销售, 促销活动, 新客户开发, 客户服务,运营管理、销售目标达成、团队建设与员工培训,检、估价、回收、销售及顾客咨询处理；负责日常账目核对，维护产品陈列和店面秩序。,商品销售,客户服务,货品管理,促销活动,店铺运营,服务管理,销售策略,团队领导,顾客关系,商店运营,服务意识,安全巡逻,防损策略,监控系统操作,紧急事件处理,店内清洁,客户服务,商品销售,店面整理,收银操作,理货,商品管理,顾客服务,仓库整理,补货上架","督导/巡店,销售管理,培训与招聘,销售策略,商品陈列,接待顾客,销售目标达成,团队建设与员工培训","['on-site supervision/inspection', 'sales management', 'current training and recruitment', 'sales strategy', 'display of goods', 'customer service', 'achievement of sales targets', 'team building and employee training']"
服务业-餐饮,"炸串制作, 食材切配, 餐具卫生管理, 后厨通岗能力, 熟制菜品烹饪,配菜准备,厨房协作,食材处理,效率高,卫生标准,烹饪技巧,日式料理,食材处理,菜品创新,顾客服务,餐饮服务, 烹饪技术, 食材准备, 食品卫生, 学徒培训,西餐烹饪, 菜品制作, 食材处理, 质量控制, 厨房管理,生产管理,菜品研发,团队领导,食品安全,厨房运营,清洗餐具,保持卫生,耐劳能力,餐饮服务,快速工作,烘焙技术,面包制作,食品安全,服务意识,艺术创意,客户服务,团队管理,营业额提升,质量监督,餐厅运营,送餐服务, 快速配送, 客户互动, 路线规划, 外卖配送,凉菜制作, 厨房卫生, 食材采购, 质量控制, 厨房管理,鸡尾酒制作,顾客服务,酒品知识,创意调配,氛围营造,服务态度,餐饮服务,顾客满意,卫生保持,基本餐饮技能,烧烤制作,食材腌制,串肉工作,菜品创新,卫生清洁,接待顾客, 饮品制作, 店内卫生维护, 收银管理, 日常营运工作,收银管理,客户服务,财务核算,商品销售,日常清洁,茶艺服务,茶叶品质鉴别,客户服务,奶茶制作,茶文化推广,厨艺技能,川菜烹饪,海鲜料理,健康卫生管理,团队协作,餐饮管理,菜品研发,质量控制,成本管理,团队领导,面点制作, 烘焙技术, 手工技艺, 质量控制, 菜品制作,传菜服务, 区域卫生, 顾客接待, 日常运营, 服务员任务,团队管理,顾客服务,餐饮运营,库存管理,突发事件处理,烘焙技术,蛋糕裱花,产品质量控制,门店运营,西点制作,餐饮管理,客户服务,团队领导,营运管理,服务培训,服务员接待, 茶饮制作, 宰杀加工, 水台清洁, 食材切配,咖啡制作,顾客服务,门店清洁,饮品制作,团队合作,中餐烹饪, 菜品创新, 食材采购, 卫生管理, 团队协作","炸串制作, 食材切配, 后厨通岗能力, 烹饪技巧, 食品卫生, 菜品创新, 顾客服务, 质量控制","['currently deep-fried skewer making', 'ingredient cutting and preparation', 'multi-functional kitchen skills', 'cooking skills', 'food hygiene', 'dish innovation', 'customer service', 'quality control']"
生产制造-化工,"化妆品研发,配方优化,产品测试,市场调研,科学传播,食品研发,化工知识,安全标准,创新能力,味觉测试,化工产品质量检验, 实验室技术操作, 微生物检测, 理化性质分析, 技术文件管理,化工研发, 水性涂料, 技术项目执行, 配方优化, 研发管理,生产工艺,化工材料,工程设计,安全监管,环境控制","化妆品研发,配方优化,产品测试,市场调研,安全标准,化工知识,创新能力,技术项目执行","['cosmetic product development', 'recipe optimization', 'product testing', 'market research', 'safety standards', 'chemical industry knowledge', 'innovation capacity', 'project execution']"
生产制造-技工/普工,"生产制造,手工技艺,折弯加工,设备操作,质量控制,注塑操作, 设备调试, 工艺优化, 质量控制, 生产管理,空调安装,维修技能,系统维护,设备安全运行,安装调试,样衣制作, 工艺质量控制, 版型裁剪, 缝制技术, 团队沟通与协作,车床操作, 数控车床编程, 设备维护, 精密加工, 模具车加工,锅炉操作, 设备维护, 水处理, 安全监管, 日常巡检,组装技能,生产效率,质量检验,手动操作,装配精度,叉车操作,货物搬运,仓库管理,安全标准,维护保养,深孔钻操作, 摇臂钻床技能, 五金加工, 图纸解读, 质量管理,电力系统维护,电路安装,故障排查,安全规范遵守,电气设备检修,喷塑技术, 喷粉操作, 工艺流程维护, 设备操作维护, 质量控制与监控,抛光技术,不锈钢处理,五金加工,表面打磨,设备维护,钣金设计,激光切割,折弯工艺,加工设备操作,质量控制,磨工, 钣金打磨, 焊接件打磨, 数控外圆磨, 五金打磨,焊接技术,手工操作,金属加工,焊接安全,质量检验,木工技艺,生产制造,手工制作,家具制造,精细操作,弱电系统维护, 设备维修保养, 电气操作, 安全检查监督, 物业维修管理,钳工,机械装配,非标自动化,质量检验,装配调试,水电安装维修, 设备维护保养, 业主报修处理, 物业水电维护, 故障排查修复,机修技术,设备维护,故障排除,日常保养,安全管理,装卸搬运,货物管理,仓库操作,物流配送,质量控制,氩弧焊接,不锈钢焊接,标识牌焊接,焊接技术应用,设备操作和维护,切纸与敲纸, 广告物料安装, 设备操作与组装, 产品组装与检验, 艺术品制作与维护,包装操作,产品质量,生产效率,包装材料,物流协调,生产制造,手工技艺,设备操作,产品质量,生产效率,铆接加工,钢结构组装,图纸解读,焊接技术,生产质量控制,电梯维护,故障处理,日常保养,客户服务,维修保养,油漆作业, 喷漆技术, 漆面管理, 设备操作, 产品质量控制,缝纫技术,服装制作,车缝操作,针车机操作,服装流水线,生产制造,模具制作,精密操作,模具调试,产品质量,生产制造,手工技艺,铣削加工,设备操作,精度控制,生产制造,切割技术,工件处理,设备操控,精度保证","生产制造,手工技艺,折弯加工,设备操作,质量控制,注塑操作","['production manufacturing', 'handicraft skills', 'bending processing', 'machine operation', 'quality control', 'injection molding operation']"
生产制造-新能源,"新能源,电池工程师,电池工艺优化,动力电池PACK,BMS系统开发,新能源,线束设计,电气工程,生产工艺,品质管理,电机设计, 新能源技术, 控制系统开发, 电磁分析, 技术研发与优化","电池工艺优化,动力电池PACK,BMS系统开发,电气工程,品质管理,电机设计, 新能源技术,控制系统开发","['battery manufacturing process optimization', 'pack', 'BMS system development', 'electrical engineering', 'quality management', 'motor design', 'new energy technology', 'Control System Development']"
生产制造-服装/纺织/皮革,"面料采购成本控制,服装打版,样衣制作,版型调整,服装设计,工艺指导,跟单协调,服装制作,面料管理,客户沟通,质量控制","面料采购,成本控制,服装打版,样衣制作,版型调整,服装设计,工艺指导,跟单协调","['fabric procurement', 'cost control', 'pattern making for clothing', 'sample garment making', 'pattern adjustment', 'fashion design', 'process guidance', 'order tracking coordination']"
生产制造-机械设计/制造,"机械设计,结构创新,产品开发,技术支持,结构优化,焊接技术,激光加工,工艺研发,新产品开发,质量控制,材料工程,机械设计,制造工艺,材料选型,性能测试,生产效率管理,工业工程优化,精益生产推进,物流规划与改善,IE策略与标准制定,模具设计,机械制造,产品开发,制图软件,精密加工,机械设计,设备维护,制造工艺,工程创新,故障分析,机械设计,制图技能,精密制造,工程规范,CAD软件,热设计分析, 散热方案设计, 热仿真建模, 热系统设计与开发, 节能环保技术研究,机械设计,夹具设计,自动化设备,设备维护,工装管理,机械设计/制造,机电一体化设计,电气系统调试,自动化控制设计,维修保养技术,机械设计,注塑工艺,模具管理,生产异常处理,质量控制,设备维修,设备保养,故障排除,技术培训,7S管理,工艺优化、生产效率提升、新产品导入、工程文件编制、质量控制。,机械设计,冲压工艺,产品开发,生产优化,精密制造,机械设计, 产品结构开发, 技术问题解决, 非标设备设计, BOM编制,CNC操作, 编程调试, 模具加工, 设备维护, 数控机床","机械设计,产品开发,结构创新,技术支持,材料工程,激光加工,制造工艺","['machine design', 'product development', 'structure innovation', 'Technical Support', 'material engineering', 'laser processing', 'manufacturing process']"
生产制造-汽车制造,"汽车项目管理,项目质量控制,项目进度跟踪,需求管理,风险管理,汽车内外饰设计, 结构工程, 零部件研发, 造型分析, 数据设计与分析,智能座舱设计, 汽车内外饰设计, 模型手工造型, 3D/2D建模, 正向/逆向建模,汽车电子,系统集成,电路设计,故障分析,信号处理,汽车设计,零部件开发,制造工艺,图纸审阅,创新能力","项目管理,质量控制,进度跟踪,需求管理,风险管理,内外饰设计,结构工程,零部件研发","['Project Management', 'quality control', 'current progress tracking', 'demand management', 'risk management', 'interior and exterior design', 'structural engineering', 'parts development']"
生产制造-环保,"环保报告编制, 环评技术管理, 应急预案制定, 现场调研, 环保审批流程,环保法规遵从,环境风险评估,安全体系建设,废弃物处理,职业健康,环保工程师,废气处理,污水处理,环评编制,设备管理,环境监测,环保标准,数据分析,现场检测,质量控制","环保报告编制, 环评技术管理, 应急预案制定, 现场调研, 环保审批流程, 环保法规遵从, 环境风险评估, 安全体系建设","['environmental impact assessment report preparation', 'Environmental Impact Assessment Technical Management', 'emergency response plan development', 'on-site investigation', 'environmental permit process', 'environmental regulation compliance', 'environmental risk assessment', 'security system construction']"
生产制造-生产营运,"生产管理,质量控制,供应链管理,生产流程优化,成本控制,生产管理,团队领导,生产计划,质量监督,产能优化,自动化设备维护,生产设备管理,设备维护计划,工程技术支持,生产过程优化,生产制造,物料计划,生产调度,库存控制,项目管理,生产管理,人员培训,质量控制,生产调度,安全生产,生产制造,厂务系统维护,设备管理与维修,能源与环境控制,团队及项目管理,车间管理,生产调度,质量控制,人员培训,现场管理,生产管理,文档处理,数据录入,营运协调,生产计划","生产管理,质量控制,供应链管理,生产流程优化,成本控制,团队领导,自动化设备维护","['production management', 'quality control', 'Supply Chain Management', 'production process optimization', 'cost control', 'team leader', 'automated equipment maintenance']"
生产制造-能源/地质,"光伏系统设计,能源效率分析,系统维护与优化,地质条件评估,组件质量控制","光伏系统设计,能源效率分析,系统维护优化,地质评估,组件质量控制","['Design of Photovoltaic Systems', 'energy efficiency analysis', 'system maintenance and optimization', 'geological assessment', 'quality control of components']"
生产制造-质量安全,"质量控制, 产品检验, 供应商管理, 质量体系, 制程监控,生产制造,质量检验,安全管理,供应商管理,原料检验,产品认证,质量控制,安全标准,技术评审,证书获取,质量监控,安全规范,风险评估,生产巡检,应急处理,质量控制,汽车行业经验,安全标准,质量保证,检测测试,质量体系审核, 审核方案管理, 食品安全卫生审核, 产品质量检验, ISO体系审核,质量管理体系,体系维护与改进,内审与培训,文件管理与审核,产品认证管理","质量控制, 产品检验, 供应商管理, 制程监控, 安全管理, 质量体系, 质量检验, 质量监控","['quality control', 'product inspection', 'Supplier Management', 'process monitoring', 'safety management', 'Quality System', 'quality inspection', 'quality control']"
设计-游戏设计,"创意设计,角色构建,游戏机制,视觉表现,故事叙述,系统策划, 玩法设计, 功能优化, 交互设计, 跨部门沟通,游戏数值策划,数值模型搭建,SLG游戏设计,经济系统设计,商业化策略设计,游戏动作设计,3D动画制作,动作设计规范,动作捕捉数据处理,游戏动作优化,创意设计,用户体验,界面美学,交互流畅,游戏元素,游戏设计,特效制作,视觉艺术,交互体验,创意实现,游戏场景设计,3D模型制作,UE4引擎应用,场景氛围营造,美术资源管理","创意设计,角色构建,游戏机制,视觉表现,故事叙述,系统策划, 玩法设计,交互设计","['Creative Design', 'role construction', 'game mechanics', 'visual presentation', '
Current narration', 'systematic planning', 'game design', 'user experience design']"
设计-用户研究,"用户研究,设计思维,需求分析,用户调研,视觉设计","用户研究,设计思维,需求分析,用户调研,视觉设计","['user research', 'design thinking', 'requirements analysis', 'user research', 'visual design']"
设计-视觉/交互设计,"广告设计, 平面设计, CDR/PS软件操作, 创意设计, 营销宣传,3D建模,视觉审美,创意设计,团队合作,项目管理,室内设计,平面资料整合,施工图制作,客户沟通,软件操作,插画创作,视觉设计,交互体验,创意思维,艺术表现,游戏交互设计,用户体验优化,交互设计框架,流程设计,游戏产品交互,设计、交互设计、视觉风格设定、跨部门协调、用户反馈分析,视觉设计,平面设计,电商设计,品牌形象设计,创意策略,CAD设计/制图, 效果图表现, 图纸深化, 方案设计, 材料工艺对接,视觉传达,创意设计,版式布局,颜色运用,品牌形象,漫画创作,分镜设计,手绘技巧,上色工作,团队协作,视觉审美,图像编辑,创意设计,色彩感知,布局调整,设计,用户体验,网页布局,视觉元素,色彩搭配,动画设计,3D建模,渲染制作,特效合成,动画制作技能,设计,视觉效果,交互设计,创意能力,艺术审美,设计,视觉创意,包装结构,材料选择,品牌形象,游戏原画设计, 角色设计, 概念创作, 场景规划, 美术风格把握","创意设计, 视觉审美, 项目管理, 客户沟通, 交互体验, 视觉传达","['Creative Design', 'visual aesthetics', 'project management', 'customer communication', 'user experience', 'visual communication']"
设计-非视觉设计,"工业设计,产品建模,CAD软件运用,视觉传达,市场调研,设计创意,展览展示,3D建模与渲染,空间设计,多媒体设计,珠宝设计,手工技艺,产品开发,玉石雕刻,市场趋势分析,家具设计,创新思维,空间规划,材料理解,工艺知识,橱柜设计, 客户沟通, 定制方案, 测量尺寸, 设计软件,空间布局,创意设计,陈列美感,展示技术,视觉营销,家居设计,创意构思,空间规划,家具选型,审美能力","工业设计,产品建模,CAD软件运用,市场调研,设计创意,展览展示,3D建模与渲染,空间设计","['industrial design', 'product modeling', 'application of CAD software', 'market research', 'design creativity', 'exhibition display', '3D modeling and rendering', 'space design']"
设计-高端设计职位,"设计管理,视觉创意,电商设计,团队管理,高端设计,创意设计,项目管理,团队领导,品牌策略,市场洞察","设计管理,视觉创意,电商设计,团队管理,高端设计,创意设计,项目管理,品牌策略","['design management', 'visual creativity', 'e-commerce design', 'team management', 'high-end design', 'Creative Design', 'Project Management', 'brand strategy']"
运营-客服,"客户服务,电话沟通,问题解决,服务流程,效率优化,运营-客服-售前客服,客户接待与咨询,订单处理与跟踪,电商平台操作,客户关系维护,网络沟通,客户关系维护,售前售后支持,产品咨询解答,订单管理处理,客服管理,客户关系维护,服务流程优化,团队领导,业务处理,客户服务,问题解决,售后支持,沟通能力,流程管理,客服团队管理,业务流程优化,数据分析,客户体验提升,团队文化策略,客户服务,问题解决,呼叫中心操作,情绪管理,多任务处理,客服服务,电话沟通,会员运营,问题处理,顾客满意度","客户服务,电话沟通,问题解决,服务流程,电商平台操作,订单处理与跟踪,效率优化,团队领导","['customer service', 'communication_by_phone', 'breed improvement', 'service process', 'operation of e-commerce platforms', 'order processing and tracking', 'efficiency optimization', 'team leader']"
运营-编辑,"运营策划,文案撰写,新媒体运营,广告创意,内容编辑,内容策划,文字编辑,网站维护,SEO优化,版面设计","运营策划,文案撰写,新媒体运营,广告创意,内容编辑,内容策划,文字编辑,SEO优化","['operation planning', 'content creation', 'New Media Operations', 'advertising creativity', 'content editing', 'content planning', 'variety improvement', 'SEO Optimization']"
